                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7757,                 2.6907,                  1.538,                0.46588,                0.74638,                0.73941,                 0.5265,                 1.7634,                 2.2364,                 1.8827,              0.0016406,              0.0016406,              0.0016406
                     35,                 1.8438,                 2.4408,                 1.6569,                0.81022,                0.71739,                 0.7701,                0.39907,                  1.773,                 2.0422,                 1.8196,              0.0016398,              0.0016398,              0.0016398
                     36,                 1.8409,                 2.3706,                 1.7511,                0.51367,                0.76087,                0.77631,                0.55291,                 1.7328,                 2.0823,                 1.8317,              0.0016389,              0.0016389,              0.0016389
                     37,                 1.8715,                  2.509,                 1.5998,                0.85346,                0.63563,                0.76621,                0.44229,                 1.8001,                 2.1481,                 1.8653,              0.0016381,              0.0016381,              0.0016381
                     38,                 1.8463,                 2.3207,                 1.5116,                0.87736,                0.65942,                0.76454,                 0.4027,                 1.8235,                 2.0652,                 1.7751,              0.0016373,              0.0016373,              0.0016373
                     39,                 1.7773,                 2.0418,                 1.5543,                0.73786,                0.71904,                0.79509,                0.39377,                  1.782,                 1.8969,                  1.753,              0.0016365,              0.0016365,              0.0016365
                     40,                 1.8045,                 2.1852,                 1.4869,                0.57986,                0.81159,                 0.7653,                0.39689,                 1.7048,                 2.1348,                 1.7359,              0.0016356,              0.0016356,              0.0016356
                     41,                 1.8002,                 2.1277,                 1.5506,                0.91966,                0.67218,                0.76762,                0.48622,                 1.7307,                 1.9002,                  1.731,              0.0016348,              0.0016348,              0.0016348
                     42,                 1.7732,                 2.3234,                 1.5848,                0.86692,                 0.6123,                0.78011,                0.56577,                 1.6997,                 1.9887,                 1.6902,               0.001634,               0.001634,               0.001634
                     43,                 1.8316,                 2.0891,                  1.559,                0.63943,                0.74638,                0.75955,                0.59787,                 1.6165,                   1.83,                 1.6649,              0.0016332,              0.0016332,              0.0016332
                     44,                 1.6438,                 1.9844,                 1.5188,                0.64338,                0.68841,                0.55886,                0.31463,                 1.6764,                 1.7351,                 1.6767,              0.0016323,              0.0016323,              0.0016323
                     45,                 1.6897,                 1.9867,                 1.4677,                0.75668,                 0.7599,                0.83676,                0.49416,                 1.5729,                 1.5867,                 1.6535,              0.0016315,              0.0016315,              0.0016315
                     46,                 1.6558,                 1.8549,                 1.4435,                0.89201,                0.68707,                0.79484,                0.57018,                 1.5295,                 1.5476,                 1.5947,              0.0016307,              0.0016307,              0.0016307
                     47,                 1.7426,                 1.9234,                 1.5091,                0.92892,                0.69741,                0.79686,                0.52845,                 1.6037,                 1.7046,                 1.6402,              0.0016299,              0.0016299,              0.0016299
                     48,                 1.6915,                 1.7405,                 1.4485,                 0.9533,                0.70492,                0.79788,                0.49508,                 1.5621,                 1.6284,                 1.6106,               0.001629,               0.001629,               0.001629
                     49,                 1.6878,                 1.8439,                 1.4873,                0.96155,                 0.6314,                0.81621,                0.53227,                 1.5239,                 1.5637,                 1.5864,              0.0016282,              0.0016282,              0.0016282
                     50,                 1.7175,                 1.8357,                 1.4625,                0.82285,                0.69412,                0.80858,                0.48047,                 1.7439,                 1.5722,                  1.683,              0.0016274,              0.0016274,              0.0016274
                     51,                 1.8013,                 1.8056,                 1.5102,                 0.5086,                0.81159,                 0.8201,                0.41927,                 1.6598,                 1.5434,                 1.6766,              0.0016266,              0.0016266,              0.0016266
                     52,                 1.7114,                 1.7876,                 1.4216,                0.86483,                0.71739,                0.79725,                0.40899,                 1.6995,                 1.6658,                 1.6779,              0.0016257,              0.0016257,              0.0016257
                     53,                  1.595,                 1.7433,                 1.4348,                0.84805,                 0.7029,                0.80436,                0.48151,                 1.5162,                 1.6265,                 1.5848,              0.0016249,              0.0016249,              0.0016249
                     54,                 1.6821,                  1.789,                 1.4381,                  0.521,                0.78805,                0.79893,                0.57323,                 1.4858,                 1.6511,                 1.5804,              0.0016241,              0.0016241,              0.0016241
                     55,                 1.5446,                 1.6101,                 1.2905,                0.63808,                0.74638,                 0.8223,                0.61882,                  1.641,                 1.5251,                  1.665,              0.0016233,              0.0016233,              0.0016233
                     56,                 1.6905,                 1.8442,                 1.4644,                0.87933,                0.73169,                0.83194,                0.62279,                 1.6745,                 1.4582,                 1.6441,              0.0016224,              0.0016224,              0.0016224
                     57,                 1.6063,                 1.6575,                 1.4317,                0.82527,                0.69473,                0.82832,                0.67585,                   1.59,                  1.514,                 1.5821,              0.0016216,              0.0016216,              0.0016216
                     58,                 1.7142,                 1.8346,                 1.5056,                0.72503,                 0.6979,                0.84213,                0.58789,                 1.5983,                  1.492,                 1.5971,              0.0016208,              0.0016208,              0.0016208
                     59,                 1.6891,                 1.8051,                 1.4804,                0.87722,                0.71576,                0.84841,                0.59564,                 1.6436,                 1.4073,                 1.6119,                0.00162,                0.00162,                0.00162
                     60,                 1.7043,                 1.6274,                 1.4796,                 0.6899,                0.73913,                0.84868,                0.46015,                  1.476,                 1.3651,                  1.519,              0.0016191,              0.0016191,              0.0016191
                     61,                 1.5766,                 1.5535,                 1.4063,                0.63707,                0.78261,                0.82886,                0.47181,                 1.4568,                 1.5874,                 1.5242,              0.0016183,              0.0016183,              0.0016183
                     62,                 1.6336,                 1.5409,                 1.4624,                0.94716,                0.74638,                0.84897,                0.66454,                  1.461,                 1.3916,                 1.5074,              0.0016175,              0.0016175,              0.0016175
                     63,                 1.4883,                 1.5518,                 1.3401,                0.76341,                0.71135,                0.85804,                0.66063,                 1.4447,                 1.3228,                 1.5346,              0.0016167,              0.0016167,              0.0016167
                     64,                  1.496,                 1.4481,                 1.3323,                0.83541,                0.76087,                0.83378,                0.64551,                 1.4707,                  1.447,                 1.5043,              0.0016158,              0.0016158,              0.0016158
                     65,                 1.5919,                 1.6806,                 1.4195,                0.65376,                0.80435,                0.85668,                0.47711,                 1.5536,                 1.2838,                 1.5648,               0.001615,               0.001615,               0.001615
                     66,                 1.6569,                 1.5314,                 1.4392,                0.82063,                0.71739,                0.83658,                0.45499,                 1.6063,                 1.4318,                 1.5951,              0.0016142,              0.0016142,              0.0016142
                     67,                 1.6039,                  1.588,                 1.4673,                0.89935,                0.59199,                0.84505,                0.50917,                 1.5403,                 1.3896,                 1.5777,              0.0016134,              0.0016134,              0.0016134
                     68,                 1.5451,                 1.5235,                 1.3324,                0.70435,                0.76812,                0.84089,                0.65799,                  1.464,                 1.2922,                 1.5344,              0.0016125,              0.0016125,              0.0016125
                     69,                 1.4814,                 1.4334,                 1.3563,                0.87095,                0.74725,                0.85672,                0.56351,                 1.4245,                 1.2959,                 1.4756,              0.0016117,              0.0016117,              0.0016117
                     70,                 1.4674,                 1.4278,                 1.3404,                0.84867,                0.73302,                0.84816,                 0.6064,                 1.4961,                 1.3651,                 1.5117,              0.0016109,              0.0016109,              0.0016109
                     71,                 1.4736,                 1.4166,                 1.3412,                0.84471,                0.71178,                 0.8479,                0.51202,                 1.4977,                 1.4037,                 1.5404,              0.0016101,              0.0016101,              0.0016101
                     72,                 1.5033,                   1.41,                 1.3207,                0.84551,                0.75227,                0.83665,                0.52246,                 1.5132,                 1.3877,                 1.5458,              0.0016092,              0.0016092,              0.0016092
                     73,                 1.5093,                 1.3393,                 1.3746,                0.89447,                0.75301,                0.85432,                0.70308,                 1.4284,                 1.4612,                 1.4791,              0.0016084,              0.0016084,              0.0016084
